               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047653,             0.03609,           0.0046505,             0.56663,             0.36935,             0.39097,              0.1478,            0.045195,            0.016017,           0.0041881,            0.006535,            0.006535,            0.006535
                  37,            0.047496,            0.036548,           0.0050068,             0.43319,             0.45432,             0.42148,             0.15997,            0.046325,            0.015421,           0.0046634,            0.006436,            0.006436,            0.006436
                  38,             0.04659,            0.036323,           0.0047535,             0.39095,              0.5052,             0.44894,             0.18111,            0.041555,            0.015854,           0.0039366,            0.006337,            0.006337,            0.006337
                  39,            0.046337,            0.036147,           0.0053513,             0.53307,             0.37652,             0.35902,             0.14094,            0.048353,             0.01572,           0.0067593,            0.006238,            0.006238,            0.006238
                  40,            0.046071,            0.037308,           0.0045657,             0.42016,             0.49008,             0.47406,             0.18411,            0.043978,            0.015002,           0.0041325,            0.006139,            0.006139,            0.006139
                  41,            0.046125,            0.035091,           0.0043215,              0.5742,             0.46585,             0.45566,             0.17494,            0.042427,            0.015231,           0.0032357,             0.00604,             0.00604,             0.00604
                  42,            0.045853,             0.03505,           0.0046544,             0.58521,             0.53939,             0.53578,               0.231,            0.039722,             0.01533,           0.0022961,            0.005941,            0.005941,            0.005941
                  43,            0.045099,            0.034452,           0.0039261,             0.64728,             0.51618,             0.53473,             0.22879,            0.040655,            0.015318,           0.0028585,            0.005842,            0.005842,            0.005842
                  44,            0.045184,            0.035409,           0.0038449,             0.64573,             0.48473,             0.54701,             0.21674,            0.042718,            0.015071,           0.0032245,            0.005743,            0.005743,            0.005743
                  45,            0.045659,            0.035385,           0.0038614,             0.62867,             0.48311,             0.51137,             0.20796,            0.042664,            0.015194,            0.003279,            0.005644,            0.005644,            0.005644
                  46,            0.044622,            0.034853,           0.0035096,             0.65502,             0.55609,             0.59031,             0.25755,            0.039977,            0.015616,           0.0024418,            0.005545,            0.005545,            0.005545
                  47,            0.045232,            0.035256,           0.0036449,              0.6543,             0.55104,             0.58073,             0.25073,            0.038892,            0.014961,           0.0034544,            0.005446,            0.005446,            0.005446
                  48,            0.044735,            0.035674,            0.003244,             0.34227,             0.41734,             0.38334,             0.16081,            0.049094,            0.016359,           0.0062965,            0.005347,            0.005347,            0.005347
                  49,            0.044315,            0.034976,           0.0029914,              0.5002,             0.51523,             0.51472,             0.20799,            0.042671,            0.014843,           0.0030217,            0.005248,            0.005248,            0.005248
                  50,            0.043715,            0.034357,           0.0032831,             0.56774,             0.51885,             0.54795,             0.24569,             0.04052,            0.014704,           0.0046463,            0.005149,            0.005149,            0.005149
                  51,            0.044034,            0.034902,           0.0032267,             0.66319,             0.34922,             0.41544,             0.16302,            0.048255,            0.015364,           0.0086579,             0.00505,             0.00505,             0.00505
                  52,            0.044319,            0.035537,           0.0033967,             0.62848,             0.45611,             0.48539,             0.19915,            0.042081,            0.014727,           0.0045768,            0.004951,            0.004951,            0.004951
                  53,            0.044004,            0.035253,            0.003553,             0.55418,             0.57693,             0.57358,             0.23972,            0.039584,            0.014808,           0.0034186,            0.004852,            0.004852,            0.004852
                  54,            0.043274,            0.035889,           0.0034556,             0.51318,             0.57118,             0.58354,             0.25421,            0.039535,            0.014874,           0.0027655,            0.004753,            0.004753,            0.004753
                  55,            0.043366,            0.035832,           0.0032891,             0.65351,             0.53655,             0.58404,             0.25445,            0.038813,            0.015118,           0.0030026,            0.004654,            0.004654,            0.004654
                  56,            0.042823,            0.034655,           0.0032133,             0.65957,             0.56655,             0.59899,             0.26044,            0.038771,            0.014629,            0.003671,            0.004555,            0.004555,            0.004555
                  57,            0.043968,            0.033952,           0.0030751,              0.5661,             0.59586,              0.5946,             0.25544,            0.040009,            0.014494,           0.0039985,            0.004456,            0.004456,            0.004456
                  58,             0.04214,            0.035524,           0.0031163,             0.67031,              0.5561,             0.60777,             0.27605,             0.03832,              0.0145,           0.0035134,            0.004357,            0.004357,            0.004357
                  59,            0.042306,            0.034786,           0.0031343,             0.66022,             0.57263,             0.61721,             0.27513,            0.038256,            0.014671,           0.0028213,            0.004258,            0.004258,            0.004258
